Type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
sc01,99.2427,0.7546,0.0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc02,46.2726,35.6837,13.73108,3.51497,0.67699,0.10578,0.01319,0.00158,0.00009,0.00002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc03,21.43761,33.02518,25.42384,13.05058,5.01681,1.54418,0.39448,0.08782,0.01605,0.00288,0.00048,0.00008,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0
sc04,9.92528,22.95331,26.49691,20.40015,11.76893,5.43376,2.07748,0.68378,0.19628,0.05017,0.01127,0.00216,0.00043,0.00009,0,0,0,0,0,0,0,0,0,0,0,0
sc05,4.61017,14.20538,21.83943,22.41067,17.23591,10.57402,5.40545,2.36798,0.90958,0.31199,0.09417,0.02657,0.00675,0.00156,0.00031,0.00004,0.00002,0,0,0,0,0,0,0,0,0
sc06,2.13552,8.24276,15.82909,20.30434,19.47366,14.9626,9.59636,5.25628,2.51492,1.06929,0.40836,0.14435,0.04442,0.01322,0.00363,0.00092,0.00023,0.00005,0,0,0,0,0,0,0,0
sc07,0.99633,4.57832,10.57641,16.2762,18.75302,17.30741,13.28653,8.70693,5.01406,2.56318,1.1675,0.49198,0.18607,0.0659,0.02111,0.00644,0.00186,0.00057,0.00014,0.00004,0,0,0,0,0,0
sc08,0.46166,2.47428,6.68512,12.00003,16.15808,17.34036,15.51956,11.90738,7.9976,4.75141,2.54733,1.2412,0.55368,0.23037,0.08673,0.03042,0.01053,0.00303,0.00078,0.00026,0.00014,0.00005,0,0,0,0
sc09,0.2144,1.31463,4.05139,8.3055,12.77549,15.73774,16.08338,14.1038,10.78474,7.34537,4.4907,2.49755,1.27134,0.59682,0.26086,0.10478,0.04056,0.01401,0.00517,0.0013,0.00038,0.00005,0.00004,0,0,0
sc10,0.04542,0.35389,1.36853,3.51276,6.7495,10.36655,13.23981,14.49741,13.88952,11.81466,9.06695,6.28792,3.98634,2.34687,1.27683,0.64928,0.31237,0.1395,0.0593,0.02321,0.00859,0.00321,0.00113,0.00035,0.00008,0.00002
